amount,category,customer_country,daytime,hour,tx_date_proc,weekday,day_type,Date_new ,numericcode,latitude(average),longitude(average),country_name,alpha-3,country_code,iso_3166-2,region,sub_region,GDP_USD_2012,GDP per capita (constant 2015 US$),"GDP, PPP (current international $)",GDP growth (annual %) ,Income_classification1 ,PPP_2012,Gross domestic income (constant LCU),Adjusted net national income per capita (constant 2015 US$),Income_classification ,"GNI per capita, PPP (current international $)"
33.46,Fashion & Shoes,GB,Night,21,40970.03604,Fri,WD,40911.91042,826,$,-2,United Kingdom ,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,2.71916E+12,43100,2.45335E+12,1.469887521,High income,0.7,1.76965E+12,35264.9,High income,38120
59.97,Fashion & Shoes,GB,Afternoon,16,40971,Sat,WE,40942.675,826,54,-2,United Kingdom ,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,2.71916E+12,43100,2.45335E+12,1.469887521,High income,0.7,1.76965E+12,35264.9,High income,38120
49.99,Fashion & Shoes,CN,Evening,17,40972,Sun,WE,40942.73194,156,35,105,China,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,8.53223E+12,6592,1.51245E+13,7.863736449,Upper middle income,3.56, .. ,4997.1,Upper middle income,11140
5.95,Fashion & Shoes,GB,Evening,17,40973,Mon,WD,40911.73819,826,54,-2,United Kingdom ,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,2.71916E+12,43100,2.45335E+12,1.469887521,High income,0.7,1.76965E+12,35264.9,High income,38120
16.65,Bars & restaurants,DK,Night,22,40974,Tue,WD,40911.94931,208,56,10,Denmark,DNK,208,ISO 3166-2:DK,Europe,Northern Europe,3.27149E+11,51567,2.50525E+11,0.226499792,High income,7.56,1.90981E+12,42430.5,High income,45820
19.95,Fashion & Shoes,GB,Afternoon,16,40975,Wed,WD,40911.68958,826,54,-2,United Kingdom ,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,2.71916E+12,43100,2.45335E+12,1.469887521,High income,0.7,1.76965E+12,35264.9,High income,38120
5.8,Bars & restaurants,GB,Morning,8,40976,Thu,WD,40911.37431,826,54,-2,United Kingdom ,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,2.71916E+12,43100,2.45335E+12,1.469887521,High income,0.7,1.76965E+12,35264.9,High income,38120
8.15,Bars & restaurants,DK,Afternoon,12,40977,Fri,WD,40911.53403,208,56,10,Denmark,DNK,208,ISO 3166-2:DK,Europe,Northern Europe,3.27149E+11,51567,2.50525E+11,0.226499792,High income,7.56,1.90981E+12,42430.5,High income,45820
11.1,Bars & restaurants,GB,Afternoon,14,40978,Sat,WE,40911.62431,826,54,-2,United Kingdom ,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,2.71916E+12,43100,2.45335E+12,1.469887521,High income,0.7,1.76965E+12,35264.9,High income,38120
36.88,Bars & restaurants,EE,Midnight,23,40979,Sun,WE,40911.98819,233,59,26,Estonia,EST,233,ISO 3166-2:EE,Europe,Northern Europe,23019150071,16257,34384867089,3.228200494,High income,0.52,18936814889,12639.2,High income,24920
47,Health,GB,Afternoon,12,40980,Mon,WD,40911.53056,826,54,-2,United Kingdom ,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,2.71916E+12,43100,2.45335E+12,1.469887521,High income,0.7,1.76965E+12,35264.9,High income,38120
945.41,Accommodation,US,Morning,8,40981,Tue,WD,40911.36458,840,38,-97,United States of America,USA,840,ISO 3166-2:US,Americas,Northern America,1.6254E+13,54213,1.6254E+13,2.280687603,High income,1,1.69004E+13,46383.9,High income,53130
1002.97,Accommodation,US,Dawn,4,40982,Wed,WD,40942.16667,840,38,-97,United States of America,USA,840,ISO 3166-2:US,Americas,Northern America,1.6254E+13,54213,1.6254E+13,2.280687603,High income,1,1.69004E+13,46383.9,High income,53130
34,Accommodation,GB,Dawn,1,40983,Thu,WD,40942.05972,826,54,-2,United Kingdom ,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,2.71916E+12,43100,2.45335E+12,1.469887521,High income,0.7,1.76965E+12,35264.9,High income,38120
5.8,Bars & restaurants,US,Mid morning,9,40984,Fri,WD,40911.38819,840,38,-97,United States of America,USA,840,ISO 3166-2:US,Americas,Northern America,1.6254E+13,54213,1.6254E+13,2.280687603,High income,1,1.69004E+13,46383.9,High income,53130
17.9,Fashion & Shoes,BR,Night,21,40985,Sat,WE,40911.89236,76,-10,-55,Brazil,BRA,76,ISO 3166-2:BR,Americas,Latin America and the Caribbean,2.46523E+12,9057,2.99853E+12,1.921175985,Upper middle income,1.61,4.13154E+12,7838.1,Upper middle income,14660
40,Transportation,US,Dawn,5,40986,Sun,WE,40911.23125,840,38,-97,United States of America,USA,840,ISO 3166-2:US,Americas,Northern America,1.6254E+13,54213,1.6254E+13,2.280687603,High income,1,1.69004E+13,46383.9,High income,53130
45,Fashion & Shoes,SE,Evening,17,40987,Mon,WD,40911.71528,752,62,15,Sweden,SWE,752,ISO 3166-2:SE,Europe,Northern Europe,5.52484E+11,48886,4.32488E+11,-0.588304569,High income,8.65,3.90872E+12,41531.2,High income,46470
155.62,Accommodation,CN,Afternoon,14,40988,Tue,WD,40942.59097,156,35,105,China,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,8.53223E+12,6592,1.51245E+13,7.863736449,Upper middle income,3.56, .. ,4997.1,Upper middle income,11140
94.94,Fashion & Shoes,AU,Afternoon,13,40989,Wed,WD,40911.55972,36,-27,133,Australia,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,1.54651E+12,55255,9.73826E+11,3.917362463,High income,1.54,1.7181E+12, .. ,High income,41530
8.95,Fashion & Shoes,AR,Mid morning,11,40990,Thu,WD,40911.46389,32,-34,-64,Argentina,ARG,32,ISO 3166-2:AR,Americas,Latin America and the Caribbean,5.45982E+11,13896,8.19698E+11,-1.026420454,Upper middle income,3.22,7.56634E+11,11669.2,Upper middle income,19180
3.25,Bars & restaurants,IL,Afternoon,16,40991,Fri,WD,40911.67431,376,31.5,34.75,Israel,ISR,376,ISO 3166-2:IL,Asia,Western Asia,2.58417E+11,33995,2.51921E+11,2.822996205,High income,3.96,1.01117E+12,27644.3,High income,31030
23.98,Accommodation,CN,Mid morning,9,40992,Sat,WE,40942.39722,156,35,105,China,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,8.53223E+12,6592,1.51245E+13,7.863736449,Upper middle income,3.56, .. ,4997.1,Upper middle income,11140
24.9,Fashion & Shoes,CH,Afternoon,12,40993,Sun,WE,40911.52708,756,47,8,Switzerland,CHE,756,ISO 3166-2:CH,Europe,Western Europe,6.9211E+11,82800,4.79281E+11,1.217193657,High income,1.35,6.31046E+11,66759.8,High income,61140
